risk,logmort0,shortnam,pos
5.14,4.268438,"BGD",3
9.73,2.778819,"CAN",3
4.68,5.480639,"COG",3
6.5,4.35927,"DZA",3
6.77,4.216562,"EGY",4
5.73,3.258096,"ETH",3
6.27,6.504288,"GHA",3
8.27,7.293018,"GMB",3
7.59,5.135798,"IDN",3
8.27,3.884241,"IND",3
7.09,4.867535,"JAM",3
6.05,4.976734,"KEN",2
6.05,4.245634,"LKA",3
4.45,6.284209,"MDG",3
7.5,4.26268,"MEX",2
4,7.986165,"MLI",3
7.23,2.791165,"MLT",3
7.95,2.873565,"MYS",3
5.55,7.602901,"NGA",3
9.73,2.145931,"NZL",3
4,4.479607,"SDN",3
6,5.103883,"SEN",4
5.82,6.180017,"SLE",2
7.45,4.442651,"TTO",4
6.45,4.143135,"TUN",5
10,2.70805,"USA",3
6.41,4.941642,"VNM",1
6.86,2.74084,"ZAF",3
