Rrisk,Rlmort,shortnam,pos
-2.174184,.5528241,"BGD",3
.3117545,.2807364,"CAN",2
-.6291915,-.532168,"COG",2
.2320869,-.469947,"DZA",2
.5375596,-.6564471,"EGY",3
.1721802,-2.447766,"ETH",3
.7121802,.7984257,"GHA",3
2.524591,1.818745,"GMB",3
.9504373,.5873317,"IDN",3
1.098027,-.006939,"IND",4
-.8422261,.5348867,"JAM",3
.7408089,-1.036073,"KEN",3
-.660508,-.215247,"LKA",3
-1.533812,1.104255,"MDG",3
-.6044766,.1426838,"MEX",3
-1.877394,2.674833,"MLI",3
-1.15221,.2018907,"MLT",3
1.406309,-1.793261,"MYS",3
-.078765,1.984624,"NGA",3
1.15221,-.2018907,"NZL",2
-1.806448,-.919311,"SDN",3
.2290244,-.3388282,"SEN",4
.2516344,.4871735,"SLE",4
-.2281651,-.2036481,"TTO",3
-.031069,-.4229305,"TUN",3
1.363113,-.7546588,"USA",3
-.6200823,.8752913,"VNM",3
.5566143,-2.044584,"ZAF",3
